,external_mall_id,block_id,average_dwell_time,median_dwell_time,store_id,store_visits_monthly_average,store_window_flow_monthly_average,store_visits_daily_average,store_window_flow_daily_average,store_total_visits,store_total_window_flow,days_with_traffic_data,mall_name,mall_country,mall_id,total_mall_area,store_name,store_year_opened,store_year_closed,store_branch_level_1,store_branch_level_2,store_branch_level_3,store_sales_r12m,store_rent_r12m,store_area,service_charges_r12m,marketing_costs_r12m,real_estate_taxes_r12m,maintenance_works_r12m
836,30,7426,1981.69095466712,2220.0,1765.0,15623.27,835402.64,586.54,31363.24,171856,9189429,293,Westfield Arkadia,Poland,6.0,77325.5,store_710,17/05/2017,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,Italian - Fast Meal,4841235.0,52147.0,319.5,98914.0,7181.0,13818.0,4137.0
837,32,11429,137.77017186134577,120.0,12156.0,17799.33,907652.33,671.67,34251.03,106796,5445914,159,Westfield Stratford City,United Kingdom,68.0,162896.4,store_4526,31/03/2012,2099-01-01 00:00:00,Culture & Media & Technology,"Books, Music & Multimedia",Newspapers,4827099.0,117443.0,35.08,602.0,6191.0,6959.5,130821.0
838,13,7786,2252.1918874795933,2340.0,308.0,9415.4,202533.0,339.91,7311.66,94154,2025330,277,Westfield Donau Zentrum,Austria,0.0,108440.8,store_267,17/10/2022,2099-01-01 00:00:00,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,83616.0,86100.0,332.0,8970.0,3054.0,1652.0,2351.0
841,30,7372,1316.254834658853,420.0,1658.0,16413.64,812422.09,616.21,30500.49,180550,8936643,293,Westfield Arkadia,Poland,6.0,77325.5,store_865,20/10/2004,2099-01-01 00:00:00,Food & Beverage Services,Sweet moments,Patisseries & Bakeries & Donuts,448878.98,251991.0,63.0,1733.0,0.0,13818.0,4137.0
844,33,6855,1717.072410096482,300.0,1990.0,3819.27,423294.91,132.11,14642.28,42012,4656244,318,Westfield Mokotow,Poland,5.0,65330.2,store_122,29/11/2012,2099-01-01 00:00:00,Bags & Footwear & Accessories,Leath. Bags/Luggage,Leather bags and accessories,55567.0,113767.0,168.92,20312.5,18891.0,3583.0,21867.5
845,10,4465,576.6552305634704,240.0,1445.0,2948.0,225679.77,104.71,8015.95,38324,2933837,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_779,25/11/2022,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,13435500.0,120856.0,100.5,16397.0,9069.0,10276.0,3841.0
846,19,7045,1073.2969786293295,1020.0,667.0,17875.0,437030.64,671.08,16407.29,196625,4807337,293,Westfield Shopping City Süd,Austria,1.0,120306.9,store_35,21/07/2022,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,Fish & Seaproducts,448810.0,49919.0,468.0,16873.0,0.0,6934.0,27480.0
847,14,5157,584.8266826671658,420.0,4840.0,27102.31,784594.23,962.65,27868.1,352330,10199725,366,Westfield La Part Dieu,France,17.0,141267.4,store_1346,02/10/2010,2099-01-01 00:00:00,Gifts,Themed Gift,Themed gift,2529242.0,86095.0,505.0,17371.0,0.0,12933.0,3610.0
851,7,4817,455.9485901955883,180.0,5890.0,32017.0,606114.33,1239.37,23462.49,192102,3636686,155,Westfield Vélizy 2,France,14.0,104280.1,store_71,31/12/1980,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,1735306.0,51408.0,219.0,10009.0,-5692.0,6244.0,21775.0
852,7,4840,474.9047605767354,240.0,5997.0,12637.44,820991.89,453.14,29437.96,113737,7388927,251,Westfield Vélizy 2,France,14.0,104280.1,store_30,10/11/2018,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Jeans,1993121.0,68412.0,173.0,12818.0,14376.0,10991.0,21775.0
853,33,6905,404.03342863426434,180.0,2211.0,2367.82,376647.73,81.91,13028.69,26046,4143125,318,Westfield Mokotow,Poland,5.0,65330.2,store_816,27/06/2023,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,17956580.0,151190.0,23.6,20312.5,0.0,12005.0,21867.5
854,12,2991,848.0287384581762,480.0,4613.0,51871.23,611855.38,3121.88,36824.63,674326,7954120,216,Westfield Forum Des Halles,France,19.0,74438.4,store_101,05/04/2016,2099-01-01 00:00:00,Gifts,Toys,Toys,52419.0,186314.0,491.0,11555.0,3427.0,17199.0,3221.0
856,7,27,506.1487092594438,300.0,5984.0,19739.56,608621.78,707.79,21823.09,177656,5477596,251,Westfield Vélizy 2,France,14.0,104280.1,store_355,07/12/2017,09/11/2023,Fashion apparel,Family Fashion,Family Fashion,2884297.0,96821.0,0.0,33450.0,9040.0,10991.0,21775.0
858,13,7673,1106.1591436541355,780.0,82.0,138049.0,393892.2,5056.74,14428.29,1380490,3938922,273,Westfield Donau Zentrum,Austria,0.0,108440.8,store_79,02/07/2012,2099-01-01 00:00:00,Food Stores & Mass Merchandise,Supermarkets,Supermarkets,2114704.0,151119.0,11531.14,7747.0,12380.0,486.0,265.0
859,14,5076,742.6914339552256,360.0,4857.0,40527.92,862235.54,1439.52,30625.85,526863,11209062,366,Westfield La Part Dieu,France,17.0,141267.4,store_1338,26/04/2013,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,35500.0,480380.0,128.0,3419.0,0.0,12933.0,3610.0
863,28,5746,2159.1339529797706,2100.0,9923.0,1867.85,809637.23,66.34,28757.61,24282,10525284,366,Westfield Mall Of Scandinavia,Sweden,59.0,91385.5,store_3632,22/07/2016,2099-01-01 00:00:00,Health & Beauty,Hair & Body,"Beauty salons, UVA and nail salons",5441276.0,66183.0,30.0,46945.0,9643.0,722.0,19952.0
866,23,5938,261.7668033671487,180.0,10222.0,16982.08,450455.77,603.19,15999.8,220767,5855925,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_3585,23/08/2019,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,2503452.0,78155.0,155.0,10733.0,1663.0,9972.0,3310.0
867,30,7336,671.7897172379093,420.0,1769.0,37211.27,1198629.27,1397.01,44999.73,409324,13184922,293,Westfield Arkadia,Poland,6.0,77325.5,store_783,31/08/2017,2099-01-01 00:00:00,Fashion apparel,Lingerie & Underwear,Women underwear,1806539.91,90000.0,1034.2,20312.5,0.0,41451.0,4137.0
868,12,2861,440.99077965251206,300.0,4576.0,28951.15,456243.62,1028.32,16205.37,376365,5931167,366,Westfield Forum Des Halles,France,19.0,74438.4,store_1338,26/02/2011,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,30226144.0,378663.0,121.0,35563.0,20286.0,324056.0,3221.0
869,25,6257,1434.686588565004,1080.0,11571.0,17765.15,584642.46,631.0,20765.99,230947,7600352,366,Westfield Parquesur,Spain,61.0,91858.1,store_2168,01/09/2023,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,American & Burgers,1390632.0,182947.0,349.0,18445.5,0.0,5796.0,33275.5
875,33,6830,278.05035308566164,180.0,2111.0,11417.91,549653.45,394.96,19013.17,125597,6046188,318,Westfield Mokotow,Poland,5.0,65330.2,store_149,30/03/2019,2099-01-01 00:00:00,Food & Beverage Services,Sweet moments,Confectionery,921818.0,127611.0,67.9,20312.5,0.0,4665.0,21867.5
877,16,1753,1067.1598494962982,600.0,5143.0,9507.77,1342516.92,337.71,47685.03,123601,17452720,366,Westfield Les Quatre Temps,France,20.0,92213.8,store_1501,01/01/2008,2099-01-01 00:00:00,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones & Communication & Internet,68674.0,179740.0,152.0,22166.0,0.0,61691.0,6289.0
878,16,1882,397.563434894672,240.0,5392.0,27411.75,564057.25,1029.55,21185.25,219294,4512458,213,Westfield Les Quatre Temps,France,20.0,92213.8,store_355,14/06/2024,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,28729363.03,71414.0,600.0,17371.0,5228.0,115364.0,6289.0
881,12,2825,819.5835332501679,180.0,4689.0,5208.23,536894.62,184.99,19070.03,67707,6979630,366,Westfield Forum Des Halles,France,19.0,74438.4,store_1333,13/07/2022,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,1106727.0,275753.0,136.0,17371.0,0.0,63213.0,3221.0
883,19,7049,1474.6435331230284,720.0,552.0,15833.27,437028.0,594.42,16407.19,174166,4807308,293,Westfield Shopping City Süd,Austria,1.0,120306.9,store_222,28/06/2018,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,Asian - Fast Meal,3742479.0,3382293.0,146.58,513.0,12047.0,101105.0,1693.0
885,10,4626,251.3917050691244,180.0,1169.0,5349.77,832615.62,190.02,29573.78,69547,10824003,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_488,01/07/2015,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,1138826.56,1423859.0,73.6,9315.0,2966.0,10276.0,349.0
887,15,588,680.8779813342551,240.0,5511.0,5196.38,608827.31,184.57,21625.01,67553,7914755,366,Westfield Parly 2,France,12.0,108792.5,store_39,19/11/2016,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,2250720.0,61603.0,68.0,10648.0,0.0,120851.0,247.0
896,26,6420,350.58262385885735,120.0,11288.0,10439.23,683572.69,370.79,24279.9,135710,8886445,366,Westfield La Maquinista,Spain,64.0,73650.1,store_3870,29/07/2021,2099-01-01 00:00:00,Bags & Footwear & Accessories,Footwear,Family footwear,999603.0,321343.0,62.33,18445.5,941.0,12232.5,12770.0
897,32,11603,2618.081465000856,2880.0,12284.0,23409.0,254517.5,883.36,9604.43,140454,1527105,159,Westfield Stratford City,United Kingdom,68.0,162896.4,store_3311,13/09/2011,2099-01-01 00:00:00,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,3511793.8,53354.0,456.93,16030.0,0.0,2132.0,78736.0
899,10,4684,1118.1591473945828,660.0,1274.0,76499.31,1184969.54,2717.19,42089.08,994491,15404604,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_40,11/10/2017,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,1011238.0,124710.0,4523.2,19114.0,0.0,10276.0,320.0
900,7,3,361.4728066693132,180.0,5989.0,13460.89,464864.78,482.66,16668.46,121148,4183783,251,Westfield Vélizy 2,France,14.0,104280.1,store_109,28/03/2018,2099-01-01 00:00:00,Bags & Footwear & Accessories,Footwear,Family footwear,347818.48,97328.0,159.0,95768.0,0.0,3032.0,51412.0
902,14,5186,2369.184568835098,1980.0,4781.0,22832.23,619975.08,810.98,22020.97,296819,8059676,366,Westfield La Part Dieu,France,17.0,141267.4,store_654,01/07/1989,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,Sandwiches,2795515.0,602224.0,382.0,17371.0,2712.0,6360.0,902.0
903,18,11087,574.1757719714965,360.0,9283.0,1627.25,310710.75,84.53,16140.82,6509,1242843,77,Westfield Mall of The Netherlands,Netherlands,54.0,93262.5,store_3176,27/09/2017,2099-01-01 00:00:00,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones & Communication & Internet,1654545.0,202500.0,184.0,191623.0,1438.0,296.0,1121.0
904,33,6791,585.4104754829124,360.0,2237.0,5673.5,568513.1,214.91,21534.59,56735,5685131,264,Westfield Mokotow,Poland,5.0,65330.2,store_350,24/04/2024,2099-01-01 00:00:00,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones & Communication & Internet,137143.31,196268.0,248.6,55721.0,0.0,22288.0,21867.5
905,10,4633,298.1789325391872,180.0,1410.0,7641.08,456025.77,271.4,16197.64,99334,5928335,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_763,01/03/2022,2099-01-01 00:00:00,Home,Furniture & Interior Design,Tableware and kitchen tools,486981.0,291663.0,170.4,26902.0,4820.0,10276.0,3841.0
907,17,4312,533.8057469144218,420.0,5712.0,18004.92,902322.85,639.52,32049.72,234064,11730197,366,Westfield Rosny 2,France,15.0,98221.7,store_1346,01/10/2010,2099-01-01 00:00:00,Gifts,Themed Gift,Themed gift,313297.0,10263150.0,304.0,17371.0,7867.0,20478.5,53699.0
911,28,5683,1721.625643961076,1080.0,9945.0,1012.08,384463.92,35.95,13655.82,13157,4998031,366,Westfield Mall Of Scandinavia,Sweden,59.0,91385.5,store_3644,30/08/2019,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,3308990.77,122471.0,118.0,4999.0,5421.0,8628.0,19952.0
912,30,7388,229.84757505773672,120.0,1667.0,12604.0,733693.91,473.19,27544.82,138644,8070633,293,Westfield Arkadia,Poland,6.0,77325.5,store_293,20/10/2004,2099-01-01 00:00:00,Bags & Footwear & Accessories,Leath. Bags/Luggage,Leather bags and accessories,569799.0,45030.0,75.0,22982.0,0.0,6007.0,4137.0
913,25,6236,828.8399762046402,300.0,11589.0,1887.29,503750.0,75.93,20265.8,13211,3526250,174,Westfield Parquesur,Spain,61.0,91858.1,store_4063,23/07/2024,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,Latino-American - Fast Meal,626668.7,141786.0,31.0,18445.5,0.0,18402.0,11385.0
914,25,6236,828.8399762046402,300.0,11515.0,1887.29,503750.0,75.93,20265.8,13211,3526250,174,Westfield Parquesur,Spain,61.0,91858.1,store_4186,03/08/2020,13/10/2023,Food & Beverage Services,Fast Meal,Latino-American - Fast Meal,4320449.0,98671.0,0.0,12039.0,0.0,6034.0,33275.5
917,30,7342,344.2490073479074,180.0,1693.0,9258.91,733692.64,347.6,27544.77,101848,8070619,293,Westfield Arkadia,Poland,6.0,77325.5,store_334,12/04/2013,2099-01-01 00:00:00,Culture & Media & Technology,Electronics and household appliances,Monobrand electronics,97385654.0,970543.0,286.0,30730.0,2583.0,13818.0,4137.0
918,10,4598,386.7641903025629,240.0,1453.0,16604.85,747795.38,589.79,26561.04,215863,9721340,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_133,23/09/2022,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,2012458.14,640691.0,163.6,15174.0,2516.0,74687.0,3841.0
919,14,4978,1022.5250460713688,240.0,4751.0,5303.38,1198604.62,188.37,42573.39,68944,15581860,366,Westfield La Part Dieu,France,17.0,141267.4,store_1321,06/04/1996,2099-01-01 00:00:00,Fashion apparel,Lingerie & Underwear,Women underwear,279573.0,73269.0,104.0,6111.0,0.0,12933.0,3610.0
921,16,1663,1119.2780719083366,780.0,5274.0,25937.46,570887.46,921.28,20277.42,337187,7421537,366,Westfield Les Quatre Temps,France,20.0,92213.8,store_1948,01/03/2019,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,Sandwiches,335619.0,159886.0,199.0,386.0,19816.0,13227.5,6289.0
922,16,1628,3130.937412293012,3060.0,5333.0,1369.08,131078.46,48.63,4655.79,17798,1704020,366,Westfield Les Quatre Temps,France,20.0,92213.8,store_1611,01/01/2022,2099-01-01 00:00:00,Entertainment,Entertainment,Others Entertainment,965632.0,308036.0,336.0,29487.0,5954.0,13227.5,6289.0
923,32,11453,699.1843056272586,180.0,12092.0,5004.33,966039.67,188.84,36454.33,30026,5796238,159,Westfield Stratford City,United Kingdom,68.0,162896.4,store_4507,02/12/2015,2099-01-01 00:00:00,Auto,Auto Dealer,Auto Dealer,539108.0,20131.0,647.7,35306.0,4248.0,7615.0,8741.5
924,12,2901,270.91264817585454,120.0,4566.0,5282.77,617552.92,187.64,21934.94,68676,8028188,366,Westfield Forum Des Halles,France,19.0,74438.4,store_50,06/06/2009,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Watches,1913440.0,134794.0,34.0,109707.0,0.0,298131.0,3221.0
926,10,4592,330.14377077389594,240.0,1437.0,25541.54,747513.54,907.21,26551.03,332040,9717676,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_2,14/10/2022,2099-01-01 00:00:00,Culture & Media & Technology,Electronics and household appliances,Monobrand electronics,3416273.0,484999.0,316.26,53505.0,0.0,10276.0,37064.0
929,12,2824,1655.9437148217637,300.0,4674.0,1619.92,568262.46,57.54,20184.19,21059,7387412,366,Westfield Forum Des Halles,France,19.0,74438.4,store_1823,19/05/2021,2099-01-01 00:00:00,Bags & Footwear & Accessories,Footwear,Women footwear,292885.0,106582.0,77.0,17371.0,4000.0,8991.0,3221.0
930,18,11151,587.9527559055118,120.0,9442.0,300.0,461775.5,15.58,23988.34,1200,1847102,77,Westfield Mall of The Netherlands,Netherlands,54.0,93262.5,store_3345,17/05/2022,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,1874565.0,307017.0,73.0,2621.0,0.0,22456.5,36945.0
931,30,7348,394.3961722907132,240.0,1890.0,13235.18,649887.73,496.88,24398.52,145587,7148765,293,Westfield Arkadia,Poland,6.0,77325.5,store_133,24/11/2023,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,15998827.59,89976.0,164.0,20312.5,0.0,2463.0,1567.0
932,36,1154,233.4288923356688,180.0,7294.0,22088.5,756281.0,910.87,31186.85,88354,3025124,97,Westfield CentrO,Germany,35.0,139180.0,store_125,08/08/2023,2099-01-01 00:00:00,Bags & Footwear & Accessories,Footwear,Family footwear,372491.0,140316.0,123.0,2301.0,0.0,10222.0,5966.0
934,13,7664,241.08921698167404,120.0,33.0,3017.9,772143.9,108.95,27875.23,30179,7721439,277,Westfield Donau Zentrum,Austria,0.0,108440.8,store_33,01/11/1986,2099-01-01 00:00:00,Services,Multiservices shops,Multiservices shops,3850875.0,65384.0,34.27,4373.0,4326.0,72250.0,94.0
937,32,11611,2429.5973985754104,2160.0,12283.0,22399.17,254256.17,850.6,9655.3,134395,1525537,158,Westfield Stratford City,United Kingdom,68.0,162896.4,store_3731,13/09/2011,2099-01-01 00:00:00,Food & Beverage Services,Service to table restaurants,American & Burgers & Steakhouse,1474035.0,294110.0,766.78,741.0,2832.0,6959.5,79443.0
939,32,11473,254.17704918032783,120.0,12364.0,2856.0,1311531.83,107.77,49491.77,17136,7869191,159,Westfield Stratford City,United Kingdom,68.0,162896.4,store_4241,30/06/2022,2099-01-01 00:00:00,Fashion apparel,Lingerie & Underwear,Women underwear,5075745.0,25713.0,64.36,24054.0,1421.0,6959.5,264.0
942,10,4601,415.2493557677733,180.0,1185.0,7216.69,747734.85,256.33,26558.89,93817,9720553,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_23,03/03/2016,2099-01-01 00:00:00,Fashion apparel,Lingerie & Underwear,Women underwear,454062.0,244932.0,138.7,12131.0,8452.0,10276.0,3841.0
943,12,2834,1281.2857808936851,900.0,4667.0,144522.0,605491.77,5161.5,21624.71,1878786,7871393,364,Westfield Forum Des Halles,France,19.0,74438.4,store_1926,03/09/2020,2099-01-01 00:00:00,Health & Beauty,Pharmacy,Pharmacy,201052.0,247710.0,2001.7,11150.0,0.0,29860.0,3221.0
945,18,11140,237.40168175937904,180.0,9310.0,12094.5,359391.25,628.29,18669.68,48378,1437565,77,Westfield Mall of The Netherlands,Netherlands,54.0,93262.5,store_2610,18/01/2021,2099-01-01 00:00:00,Food & Beverage Services,Gourmet Food Products,Chocolate,786948.0,152422.0,157.0,20531.5,9076.0,11015.0,36945.0
947,14,5239,2068.4947391024266,1740.0,5001.0,14424.69,613224.92,512.35,21781.21,187521,7971924,366,Westfield La Part Dieu,France,17.0,141267.4,store_1400,09/06/2021,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,American & Burgers,1480120.8,34843.0,292.5,92.0,0.0,23432.0,3610.0
950,7,4818,399.2160842613418,300.0,5933.0,20302.0,583291.5,824.45,23686.96,162416,4666332,197,Westfield Vélizy 2,France,14.0,104280.1,store_62,15/12/2006,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,1398768.0,248453.0,224.0,22636.0,0.0,10991.0,318580.0
952,28,5748,623.3637488846032,300.0,9910.0,24954.31,385736.92,886.36,13701.04,324406,5014580,366,Westfield Mall Of Scandinavia,Sweden,59.0,91385.5,store_133,12/11/2015,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,33278092.0,73673.0,145.0,20046.0,0.0,11717.0,19952.0
953,22,6705,319.6416721964167,120.0,4512.0,1636.33,513288.75,58.27,18277.34,19636,6159465,337,Westfield Euralille,France,26.0,58389.7,store_1579,15/04/2023,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,6622966.0,43428.0,91.0,17371.0,3722.0,10639.0,2748.0
954,16,1887,2278.772362829144,2340.0,5353.0,13860.0,122344.23,492.3,4345.56,180180,1590475,366,Westfield Les Quatre Temps,France,20.0,92213.8,store_2071,13/01/2023,2099-01-01 00:00:00,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,1344158.0,297072.0,212.0,17371.0,1225.0,13227.5,6289.0
955,10,4707,1677.9862623555034,1380.0,1174.0,3134.15,657557.46,111.32,23355.87,40744,8548247,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_478,30/08/2015,2099-01-01 00:00:00,Health & Beauty,Hair & Body,Hairdressers,12403398.5,113899.0,98.2,27025.0,0.0,9123.0,401.0
956,13,7615,400.09062448508814,240.0,316.0,6154.9,1268144.1,223.0,45947.25,61549,12681441,276,Westfield Donau Zentrum,Austria,0.0,108440.8,store_224,07/02/2023,2099-01-01 00:00:00,Gifts,Themed Gift,Themed gift,578764.0,51816.0,133.0,9624.0,0.0,13029.0,76272.0
957,23,5914,1198.6707942835333,480.0,10099.0,24428.77,431700.92,867.69,15333.64,317574,5612112,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_3520,29/08/2013,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,164252.0,112698.0,539.0,123999.0,0.0,9972.0,3310.0
962,7,35,1124.6135028464378,900.0,5931.0,132706.89,907240.89,4758.41,32530.55,1194362,8165168,251,Westfield Vélizy 2,France,14.0,104280.1,store_1852,02/07/2007,2099-01-01 00:00:00,Culture & Media & Technology,General Culture & Media & Technology,General Culture & Media & Technology,7112466.0,480521.0,6162.0,17371.0,4296.0,3144.0,21775.0
963,12,2878,816.2055856669677,300.0,4666.0,29562.23,1582840.46,1050.02,56221.11,384309,20576926,366,Westfield Forum Des Halles,France,19.0,74438.4,store_62,05/08/2020,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,491237.0,86060.0,84.0,17371.0,2187.0,9285.0,979.0
964,13,7556,293.6998820754717,180.0,30.0,6439.9,534976.6,232.49,19313.23,64399,5349766,277,Westfield Donau Zentrum,Austria,0.0,108440.8,store_30,01/02/2003,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Jeans,11522845.0,1552694.0,206.0,-2129.0,0.0,13029.0,2351.0
966,23,6049,305.0766027071248,180.0,10119.0,6187.0,199580.69,219.76,7088.93,80431,2594549,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_3544,21/12/2013,2099-01-01 00:00:00,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones accessories,45529509.11,128958.0,37.0,36242.0,2198.0,9972.0,3310.0
967,28,5764,341.01457899434695,120.0,9997.0,7482.25,1203340.63,259.13,41674.13,59858,9626725,231,Westfield Mall Of Scandinavia,Sweden,59.0,91385.5,store_3668,11/02/2022,30/08/2024,Auto,Auto Dealer,Auto Dealer,3445983.0,76314.0,0.0,17181.0,3596.0,11717.0,19952.0
968,33,6813,341.8112067910052,240.0,2013.0,4293.18,420431.27,148.51,14543.22,47225,4624744,318,Westfield Mokotow,Poland,5.0,65330.2,store_815,06/11/2013,2099-01-01 00:00:00,Food & Beverage Services,Gourmet Food Products,Wines and spirits,159141.0,102559.0,35.3,1631623.0,0.0,263815.0,21867.5
969,14,5174,409.19384615384615,240.0,4864.0,2321.15,1206192.69,82.45,42842.91,30175,15680505,366,Westfield La Part Dieu,France,17.0,141267.4,store_1982,28/01/2014,2099-01-01 00:00:00,Food Stores & Mass Merchandise,Grocery,Grocery,2076297.0,5942.0,29.0,77668.0,436.0,7832.0,3610.0
970,33,6817,576.6709653647753,240.0,2143.0,2303.36,557119.91,79.68,19271.44,25337,6128319,318,Westfield Mokotow,Poland,5.0,65330.2,store_1064,05/12/2020,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,5555096.0,260361.0,43.8,552.0,5341.0,12063.0,28499.0
973,18,11196,274.0655922163021,180.0,9491.0,11548.0,474814.75,599.9,24665.7,46192,1899259,77,Westfield Mall of The Netherlands,Netherlands,54.0,93262.5,store_3127,18/03/2024,2099-01-01 00:00:00,Bags & Footwear & Accessories,Footwear,Family footwear,388490.38,277281.0,225.0,40794.0,0.0,155634.0,36945.0
980,10,4581,912.3089632383312,600.0,1388.0,1253.62,265504.62,44.53,9430.49,16297,3451560,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_752,14/07/2021,2099-01-01 00:00:00,Services,Imaterial services,Travel Agency,2393989.54,160000.0,47.0,19114.0,4917.0,10276.0,3841.0
982,13,7612,1411.7943925233644,540.0,122.0,1499.5,444149.7,54.33,16092.38,14995,4441497,276,Westfield Donau Zentrum,Austria,0.0,108440.8,store_115,05/12/2014,2099-01-01 00:00:00,Health & Beauty,Hair & Body,"Beauty salons, UVA and nail salons",1241575.0,109467.0,185.0,16873.0,6994.0,3962.0,88607.0
983,18,11163,417.270763793442,240.0,9292.0,55269.5,441932.0,2871.14,22957.51,221078,1767728,77,Westfield Mall of The Netherlands,Netherlands,54.0,93262.5,store_67,18/11/2020,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,2120508.0,407793.0,1024.0,20531.5,8517.0,2124.0,36945.0
984,28,5815,369.5395241749808,120.0,10000.0,12686.77,598052.15,450.62,21242.29,164928,7774678,366,Westfield Mall Of Scandinavia,Sweden,59.0,91385.5,store_2055,19/11/2021,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,626469.0,59476.0,128.0,552.0,0.0,11717.0,25371.0
986,18,11096,255.66041185367396,180.0,9345.0,25219.75,445708.0,1310.12,23153.66,100879,1782832,77,Westfield Mall of The Netherlands,Netherlands,54.0,93262.5,store_94,18/01/2021,2099-01-01 00:00:00,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,392234.0,359758.0,234.0,1278.0,5476.0,1061.0,36945.0
987,19,7232,2846.299797280368,2820.0,457.0,9386.55,208052.73,352.4,7810.85,103252,2288580,293,Westfield Shopping City Süd,Austria,1.0,120306.9,store_339,20/09/2013,2099-01-01 00:00:00,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,251396.0,59456.0,248.0,3035.0,0.0,6934.0,1693.0
991,22,6637,2454.420723724405,900.0,4448.0,13768.08,773859.08,490.26,27555.81,165217,9286309,337,Westfield Euralille,France,26.0,58389.7,store_951,26/11/2016,2099-01-01 00:00:00,Fashion apparel,Lingerie & Underwear,Women underwear,928844.0,111827.0,206.0,38385.0,0.0,17866.0,2748.0
992,36,1152,523.0634815890194,360.0,7274.0,19762.0,435440.0,814.93,17956.29,79048,1741760,97,Westfield CentrO,Germany,35.0,139180.0,store_2623,20/10/2022,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,348087.0,41948.0,503.0,21528.0,0.0,119253.0,54910.0
995,25,6256,2421.5383382099485,2520.0,11585.0,6357.7,422258.7,245.47,16303.42,63577,4222587,259,Westfield Parquesur,Spain,61.0,91858.1,store_4203,29/04/2024,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,American & Burgers,256145.0,2248232.0,142.0,857.0,8608.0,18402.0,1558.0
